Path 1,lo0308_reg/QN,lo1102_reg/D,564.400
^,NOR2x1p5_ASAP7_75t_R,3,2.933,177.400,20.000
v,INVx4_ASAP7_75t_R,2,1.764,190.100,12.700
^,NOR2x2_ASAP7_75t_R,4,2.537,204.700,14.600
^,AND2x4_ASAP7_75t_R,4,2.565,230.200,25.500
^,AND2x4_ASAP7_75t_R,3,2.467,252.400,22.200
v,NAND2x1p5_ASAP7_75t_R,3,1.256,262.400,10.000
v,OA21x2_ASAP7_75t_R,2,1.710,284.700,22.300
^,XNOR2xp5_ASAP7_75t_R,2,0.816,306.000,21.300
v,OAI22xp5_ASAP7_75t_R,1,0.385,322.400,16.400
^,O2A1O1Ixp33_ASAP7_75t_R,2,0.768,347.500,25.100
v,INVxp67_ASAP7_75t_R,1,0.451,363.100,15.600
^,A2O1A1Ixp33_ASAP7_75t_R,1,0.403,380.200,17.100
v,A2O1A1Ixp33_ASAP7_75t_R,2,1.953,414.000,33.800
^,NAND2x1p5_ASAP7_75t_R,2,1.656,439.900,25.900
v,NAND2x1p5_ASAP7_75t_R,2,1.392,454.000,14.100
^,O2A1O1Ixp33_ASAP7_75t_R,2,1.091,482.300,28.300
v,NOR2xp67_ASAP7_75t_R,1,0.408,502.400,20.100
v,AND2x2_ASAP7_75t_R,1,1.602,527.900,25.500
v,BUFx12f_ASAP7_75t_R,13,6.790,546.100,18.200
^,A2O1A1Ixp33_ASAP7_75t_R,1,0.541,560.200,14.100
^,DFFHQNx3_ASAP7_75t_R,,0.541,560.300,0.100
Path 1,lo0308_reg/QN,lo1207_reg/D,560.300
^,,1262,525.602,0.000,
v,DFFHQNx2_ASAP7_75t_R,4,2.893,73.000,73.000
^,INVx2_ASAP7_75t_R,2,1.466,90.200,17.200
v,NAND2x1p5_ASAP7_75t_R,3,1.821,103.300,13.100
^,NOR2x1p5_ASAP7_75t_R,4,2.452,121.200,17.900
v,NAND2x1p5_ASAP7_75t_R,2,1.213,135.100,13.900
^,INVx2_ASAP7_75t_R,2,1.400,145.900,10.800
v,NAND2x1p5_ASAP7_75t_R,3,1.860,157.400,11.500
^,NOR2x1p5_ASAP7_75t_R,3,2.933,177.400,20.000
v,INVx4_ASAP7_75t_R,2,1.764,190.100,12.700
^,NOR2x2_ASAP7_75t_R,4,2.537,204.700,14.600
^,AND2x4_ASAP7_75t_R,4,2.565,230.200,25.500
^,AND2x4_ASAP7_75t_R,3,2.467,252.400,22.200
v,NAND2x1p5_ASAP7_75t_R,3,1.256,262.400,10.000
v,OA21x2_ASAP7_75t_R,2,1.710,284.700,22.300
^,XNOR2xp5_ASAP7_75t_R,2,0.816,306.000,21.300
v,OAI22xp5_ASAP7_75t_R,1,0.385,322.400,16.400
^,O2A1O1Ixp33_ASAP7_75t_R,2,0.768,347.500,25.100
v,INVxp67_ASAP7_75t_R,1,0.451,363.100,15.600
^,A2O1A1Ixp33_ASAP7_75t_R,1,0.403,380.200,17.100
v,A2O1A1Ixp33_ASAP7_75t_R,2,1.953,414.000,33.800
^,NAND2x1p5_ASAP7_75t_R,2,1.656,439.900,25.900
v,NAND2x1p5_ASAP7_75t_R,2,1.392,454.000,14.100
^,O2A1O1Ixp33_ASAP7_75t_R,2,1.091,482.300,28.300
v,NOR2xp67_ASAP7_75t_R,1,0.408,502.400,20.100
v,AND2x2_ASAP7_75t_R,1,1.602,527.900,25.500
v,BUFx12f_ASAP7_75t_R,13,6.790,546.100,18.200
^,A2O1A1Ixp33_ASAP7_75t_R,1,0.480,560.300,14.200
